id,time,dayPower,capacity
4,2017-01-01,28,50
4,2017-01-02,129,50
4,2017-01-03,28,50
4,2017-01-04,258,50
4,2017-01-05,8,50
4,2017-01-06,16,50
4,2017-01-07,8,50
4,2017-01-08,19,50
4,2017-01-09,52,50
4,2017-01-10,67,50
4,2017-01-11,53,50
4,2017-01-12,35,50
4,2017-01-13,67,50
4,2017-01-14,67,50
4,2017-01-15,139,50
4,2017-01-16,103,50
4,2017-01-17,73,50
4,2017-01-18,105,50
4,2017-01-19,35,50
4,2017-01-20,67,50
4,2017-01-21,67,50
4,2017-01-22,67,50
4,2017-01-23,161,50
4,2017-01-24,124,50
4,2017-01-25,103,50
4,2017-01-26,16,50
4,2017-01-27,161,50
4,2017-01-28,8,50
4,2017-01-29,35,50
4,2017-01-30,139,50
4,2017-01-31,164,50
4,2017-02-01,67,50
4,2017-02-02,139,50
4,2017-02-03,152,50
4,2017-02-04,28,50
4,2017-02-05,193,50
4,2017-02-06,147,50
4,2017-02-07,83,50
4,2017-02-08,118,50
4,2017-02-09,286,50
4,2017-02-10,290,50
4,2017-02-11,244,50
4,2017-02-12,237,50
4,2017-02-13,185,50
4,2017-02-14,147,50
4,2017-02-15,216,50
4,2017-02-16,16,50
4,2017-02-17,67,50
4,2017-02-18,239,50
4,2017-02-19,16,50
4,2017-02-20,231,50
4,2017-02-21,35,50
4,2017-02-22,19,50
4,2017-02-23,305,50
4,2017-02-24,278,50
4,2017-02-25,282,50
4,2017-02-26,242,50
4,2017-02-27,243,50
4,2017-02-28,197,50
4,2017-03-01,129,50
4,2017-03-02,301,50
4,2017-03-03,262,50
4,2017-03-04,215,50
4,2017-03-05,256,50
4,2017-03-06,262,50
4,2017-03-07,316,50
4,2017-03-08,296,50
4,2017-03-09,296,50
4,2017-03-10,296,50
4,2017-03-11,162,50
4,2017-03-12,259,50
4,2017-03-13,207,50
4,2017-03-14,284,50
4,2017-03-15,248,50
4,2017-03-16,262,50
4,2017-03-17,216,50
4,2017-03-18,215,50
4,2017-03-19,129,50
4,2017-03-20,259,50
4,2017-03-21,243,50
4,2017-03-22,147,50
4,2017-03-23,259,50
4,2017-03-24,16,50
4,2017-03-25,16,50
4,2017-03-26,242,50
4,2017-03-27,243,50
4,2017-03-28,111,50
4,2017-03-29,28,50
4,2017-03-30,259,50
4,2017-03-31,28,50
4,2017-04-01,216,50
4,2017-04-02,280,50
4,2017-04-03,249,50
4,2017-04-04,259,50
4,2017-04-05,8,50
4,2017-04-06,290,50
4,2017-04-07,202,50
4,2017-04-08,202,50
4,2017-04-09,243,50
4,2017-04-10,259,50
4,2017-04-11,268,50
4,2017-04-12,306,50
4,2017-04-13,202,50
4,2017-04-14,290,50
4,2017-04-15,229,50
4,2017-04-16,259,50
